Logging started at 20250426-0826
NVIDIA RTX A6000
Process ID: 1779006
Env: StickInsect-v4, experts/StickInsect_states.pt, experts/StickInsect_actions.pt, Seed: 0
Rollout length: 1000
Num steps: 2000000, Eval interval: 10000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 2e-06, lr_critic: 2e-06, lr_disc: 2e-06
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc R: (100, 100), Units Disc V: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.01, Max Grad Norm: 10.0
Load data states: (5208, 47), actions: (5208, 18)
Expert data states: (5207, 47), actions: (5207, 18)
Expert buffer size: 5207
Initial state shape: (47,)
Num steps: 10000    Return: -319.1   Time: 0:00:18
Num steps: 20000    Return: -248.0   Time: 0:00:36
Num steps: 30000    Return: -208.6   Time: 0:00:53
Num steps: 40000    Return: -256.0   Time: 0:01:10
Num steps: 50000    Return: -211.2   Time: 0:01:28
Num steps: 60000    Return: -265.6   Time: 0:01:46
Num steps: 70000    Return: -227.4   Time: 0:02:03
Num steps: 80000    Return: -212.5   Time: 0:02:21
Num steps: 90000    Return: -154.2   Time: 0:02:39
Num steps: 100000   Return: -170.8   Time: 0:02:57
Num steps: 110000   Return: -114.5   Time: 0:03:15
Num steps: 120000   Return: -171.5   Time: 0:03:32
Num steps: 130000   Return: -141.8   Time: 0:03:50
Num steps: 140000   Return: -128.5   Time: 0:04:08
Num steps: 150000   Return: -157.4   Time: 0:04:26
Num steps: 160000   Return: -48.6   Time: 0:04:43
Num steps: 170000   Return: -44.9   Time: 0:05:01
Num steps: 180000   Return: -79.5   Time: 0:05:19
Num steps: 190000   Return: -36.1   Time: 0:05:37
Num steps: 200000   Return: -17.2   Time: 0:05:55
Num steps: 210000   Return: -93.3   Time: 0:06:12
Num steps: 220000   Return: -31.9   Time: 0:06:31
Num steps: 230000   Return: -148.4   Time: 0:06:49
Num steps: 240000   Return: 21.3    Time: 0:07:07
Num steps: 250000   Return: -55.6   Time: 0:07:25
Num steps: 260000   Return: 16.0    Time: 0:07:43
Num steps: 270000   Return: 8.8     Time: 0:08:01
Num steps: 280000   Return: 42.9    Time: 0:08:19
Num steps: 290000   Return: 14.5    Time: 0:08:36
Num steps: 300000   Return: 50.2    Time: 0:08:54
Num steps: 310000   Return: 18.8    Time: 0:09:12
Num steps: 320000   Return: 63.8    Time: 0:09:29
Num steps: 330000   Return: 77.1    Time: 0:09:47
Num steps: 340000   Return: 75.9    Time: 0:10:05
Num steps: 350000   Return: 119.1   Time: 0:10:23
Num steps: 360000   Return: 80.1    Time: 0:10:40
Num steps: 370000   Return: 25.1    Time: 0:10:58
Num steps: 380000   Return: 113.9   Time: 0:11:16
Num steps: 390000   Return: 142.9   Time: 0:11:34
Num steps: 400000   Return: 157.5   Time: 0:11:52
Num steps: 410000   Return: 150.6   Time: 0:12:10
Num steps: 420000   Return: 199.8   Time: 0:12:27
Num steps: 430000   Return: 143.0   Time: 0:12:45
Num steps: 440000   Return: 187.8   Time: 0:13:02
Num steps: 450000   Return: 211.0   Time: 0:13:20
Num steps: 460000   Return: 219.1   Time: 0:13:39
Num steps: 470000   Return: 213.4   Time: 0:13:56
Num steps: 480000   Return: 235.0   Time: 0:14:14
Num steps: 490000   Return: 177.0   Time: 0:14:32
Num steps: 500000   Return: 305.3   Time: 0:14:49
Num steps: 510000   Return: 268.0   Time: 0:15:07
Num steps: 520000   Return: 248.4   Time: 0:15:24
Num steps: 530000   Return: 280.4   Time: 0:15:42
Num steps: 540000   Return: 311.1   Time: 0:16:00
Num steps: 550000   Return: 345.6   Time: 0:16:18
Num steps: 560000   Return: 300.5   Time: 0:16:36
Num steps: 570000   Return: 297.8   Time: 0:16:54
Num steps: 580000   Return: 293.8   Time: 0:17:12
Num steps: 590000   Return: 397.2   Time: 0:17:30
Num steps: 600000   Return: 358.7   Time: 0:17:48
Num steps: 610000   Return: 301.9   Time: 0:18:06
Num steps: 620000   Return: 342.2   Time: 0:18:23
Num steps: 630000   Return: 409.4   Time: 0:18:41
Num steps: 640000   Return: 330.8   Time: 0:18:58
Num steps: 650000   Return: 353.6   Time: 0:19:15
Num steps: 660000   Return: 348.5   Time: 0:19:32
Num steps: 670000   Return: 422.1   Time: 0:19:50
Num steps: 680000   Return: 428.4   Time: 0:20:07
Num steps: 690000   Return: 474.0   Time: 0:20:25
Num steps: 700000   Return: 468.5   Time: 0:20:43
Num steps: 710000   Return: 361.4   Time: 0:21:01
Num steps: 720000   Return: 448.1   Time: 0:21:18
Num steps: 730000   Return: 442.6   Time: 0:21:37
Num steps: 740000   Return: 457.7   Time: 0:21:54
Num steps: 750000   Return: 477.1   Time: 0:22:13
Num steps: 760000   Return: 454.6   Time: 0:22:31
Num steps: 770000   Return: 500.0   Time: 0:22:48
Num steps: 780000   Return: 443.2   Time: 0:23:06
Num steps: 790000   Return: 565.1   Time: 0:23:23
Num steps: 800000   Return: 506.0   Time: 0:23:41
Num steps: 810000   Return: 485.4   Time: 0:24:00
Num steps: 820000   Return: 529.0   Time: 0:24:17
Num steps: 830000   Return: 448.0   Time: 0:24:35
Num steps: 840000   Return: 528.0   Time: 0:24:53
Num steps: 850000   Return: 558.3   Time: 0:25:10
Num steps: 860000   Return: 450.7   Time: 0:25:27
Num steps: 870000   Return: 563.1   Time: 0:25:45
Num steps: 880000   Return: 506.8   Time: 0:26:03
Num steps: 890000   Return: 510.5   Time: 0:26:20
Num steps: 900000   Return: 508.0   Time: 0:26:37
Num steps: 910000   Return: 568.6   Time: 0:26:55
Num steps: 920000   Return: 553.6   Time: 0:27:13
Num steps: 930000   Return: 530.9   Time: 0:27:30
Num steps: 940000   Return: 519.6   Time: 0:27:48
Num steps: 950000   Return: 494.7   Time: 0:28:06
Num steps: 960000   Return: 631.4   Time: 0:28:24
Num steps: 970000   Return: 557.2   Time: 0:28:41
Num steps: 980000   Return: 586.4   Time: 0:28:59
Num steps: 990000   Return: 535.2   Time: 0:29:17
Num steps: 1000000   Return: 578.7   Time: 0:29:35
Num steps: 1010000   Return: 544.9   Time: 0:29:53
Num steps: 1020000   Return: 558.4   Time: 0:30:10
Num steps: 1030000   Return: 533.9   Time: 0:30:29
Num steps: 1040000   Return: 599.4   Time: 0:30:46
Num steps: 1050000   Return: 557.1   Time: 0:31:03
Num steps: 1060000   Return: 531.4   Time: 0:31:21
Num steps: 1070000   Return: 483.9   Time: 0:31:39
Num steps: 1080000   Return: 583.2   Time: 0:31:57
Num steps: 1090000   Return: 631.2   Time: 0:32:15
Num steps: 1100000   Return: 555.5   Time: 0:32:32
Num steps: 1110000   Return: 589.0   Time: 0:32:50
Num steps: 1120000   Return: 618.0   Time: 0:33:07
Num steps: 1130000   Return: 638.5   Time: 0:33:25
Num steps: 1140000   Return: 689.9   Time: 0:33:43
Num steps: 1150000   Return: 640.8   Time: 0:34:01
Num steps: 1160000   Return: 642.8   Time: 0:34:18
Num steps: 1170000   Return: 632.4   Time: 0:34:36
Num steps: 1180000   Return: 656.7   Time: 0:34:54
Num steps: 1190000   Return: 682.8   Time: 0:35:12
Num steps: 1200000   Return: 694.8   Time: 0:35:30
Num steps: 1210000   Return: 645.8   Time: 0:35:48
Num steps: 1220000   Return: 647.3   Time: 0:36:06
Num steps: 1230000   Return: 629.7   Time: 0:36:23
Num steps: 1240000   Return: 720.3   Time: 0:36:41
Num steps: 1250000   Return: 671.4   Time: 0:36:59
Num steps: 1260000   Return: 740.9   Time: 0:37:17
Num steps: 1270000   Return: 666.8   Time: 0:37:35
Num steps: 1280000   Return: 578.4   Time: 0:37:53
Num steps: 1290000   Return: 670.8   Time: 0:38:12
Num steps: 1300000   Return: 664.2   Time: 0:38:29
