action1,action2,action3,action4,action5,action6,action7,action8
3.807623386383056641e-01,-7.533834874629974365e-02,2.539983987808227539e-01,-7.681708335876464844e-01,-3.267513215541839600e-02,5.271133780479431152e-01,6.911530494689941406e-01,5.450283885002136230e-01
-3.443933427333831787e-01,-1.579895317554473877e-01,1.042483374476432800e-01,-7.792279720306396484e-01,7.191471457481384277e-01,1.251911222934722900e-01,8.392198085784912109e-01,6.370153427124023438e-01
-9.875781536102294922e-01,6.941890120506286621e-01,-2.541700601577758789e-01,-8.667422533035278320e-01,8.385946154594421387e-01,1.692051440477371216e-01,4.737879335880279541e-01,5.571523904800415039e-01
-8.125495910644531250e-01,-5.355724096298217773e-01,1.147742420434951782e-01,-5.969108343124389648e-01,-4.809446632862091064e-01,2.198992855846881866e-02,2.888119034469127655e-02,2.141656726598739624e-01
-4.706814512610435486e-02,-4.799652695655822754e-01,-7.893193960189819336e-01,-5.950465202331542969e-01,2.049710154533386230e-01,-1.097786426544189453e-01,1.642367243766784668e-01,3.397336900234222412e-01
7.634006142616271973e-01,-4.712385237216949463e-01,6.736229062080383301e-01,-7.206181287765502930e-01,-9.747499227523803711e-01,4.378858208656311035e-01,7.799903154373168945e-01,6.028283834457397461e-01
-3.446314632892608643e-01,-6.424719691276550293e-01,-7.052054405212402344e-01,-5.790764689445495605e-01,6.454771757125854492e-01,6.908801794052124023e-01,6.017220616340637207e-01,2.368708886206150055e-02
8.409391343593597412e-02,-4.406152367591857910e-01,3.328501880168914795e-01,-3.879629969596862793e-01,-3.313554227352142334e-01,2.155169844627380371e-01,4.927615821361541748e-01,3.843197226524353027e-01
1.053110323846340179e-02,-3.780989050865173340e-01,-4.781064391136169434e-01,-6.500805616378784180e-01,3.418750762939453125e-01,3.419474363327026367e-01,3.736607730388641357e-01,2.075663954019546509e-01
-1.403200626373291016e-01,-1.477672308683395386e-01,-1.153854466974735260e-02,-6.481505632400512695e-01,3.054922632873058319e-02,3.627994656562805176e-01,5.139666795730590820e-01,4.356423914432525635e-01
4.923553168773651123e-01,-4.352704063057899475e-02,2.361595928668975830e-01,-7.616602778434753418e-01,3.066978752613067627e-01,3.582985997200012207e-01,5.104109048843383789e-01,5.387024283409118652e-01
-1.671231240034103394e-01,-9.466741979122161865e-02,-1.085636578500270844e-02,-8.451036214828491211e-01,5.579454898834228516e-01,3.904617130756378174e-01,7.722617983818054199e-01,6.559931039810180664e-01
-9.924452304840087891e-01,6.996288299560546875e-01,5.816118419170379639e-02,-7.680481076240539551e-01,5.581631660461425781e-01,-5.408553406596183777e-02,3.162162899971008301e-01,6.320110559463500977e-01
-9.545192718505859375e-01,-6.037175059318542480e-01,-3.344625532627105713e-01,-8.432899117469787598e-01,6.840916872024536133e-01,3.846285045146942139e-01,5.291231274604797363e-01,5.628857612609863281e-01
