LF_sup,LM_sup,LH_sup,RF_sup,RM_sup,RH_sup,LF_CTr,LM_CTr,LH_CTr,RF_CTr,RM_CTr,RH_CTr,LF_ThC,LM_ThC,LH_ThC,RF_ThC,RM_ThC,RH_ThC,LF_FTi,LM_FTi,LH_FTi,RF_FTi,RM_FTi,RH_FTi
17.499684,26.916164,-19.771559,12.127605,-27.612472,-9.159923,29.353351,-10.576865,34.504109,30.075078,20.946346,46.067195,54.401826,36.910796,-51.187495,56.028980,-36.918665,-25.812471,48.927362,122.235368,62.974526,69.361113,71.094168,42.120607
15.888907,27.128936,-19.134200,13.803985,-28.446661,-10.931640,28.713965,1.736850,32.544436,29.617702,20.137234,44.901993,52.557238,35.903377,-51.013403,55.861501,-38.313141,-28.353871,49.775656,114.556503,66.188448,67.845260,70.560027,41.952930
15.257614,28.240126,-18.493888,14.268265,-28.751154,-11.530179,27.983113,3.905564,30.593999,29.397595,18.202615,43.134866,50.734918,37.460407,-50.527567,56.156781,-39.518705,-29.152306,50.298703,104.575362,68.572636,66.883787,72.021432,42.113063
15.366428,28.118162,-19.149286,14.008697,-28.626637,-11.793394,27.498521,0.867322,29.085617,29.825186,18.179260,42.765503,50.038191,36.301359,-50.601999,55.303389,-40.707900,-29.800641,49.916057,101.248800,70.359722,65.842324,73.002124,42.712092
15.486174,27.961140,-18.990936,14.211589,-28.683652,-12.542897,28.240274,1.465368,29.345736,29.594987,17.908887,41.134990,51.194542,36.213240,-51.655103,52.844359,-40.854516,-30.065562,49.162988,99.606058,71.188416,65.190741,74.271094,44.191953
15.426245,27.902627,-19.837733,13.540891,-28.038989,-12.060208,28.312285,1.435137,29.575460,29.195646,16.944884,39.909170,50.047786,35.609652,-53.025763,52.326347,-40.846922,-30.040958,47.984444,97.190643,71.363820,64.657807,76.991412,46.238277
14.334392,27.661609,-21.223876,12.362574,-26.851507,-11.550400,26.680962,1.424050,29.886645,27.051457,16.745498,39.534326,46.312066,34.571821,-54.763307,53.206649,-40.347349,-30.211901,47.065318,94.472879,71.440238,64.394221,79.871840,48.442582
13.794876,26.929909,-21.625975,12.374629,-25.696737,-11.690816,27.501924,2.998175,30.396218,25.530616,20.722907,37.951249,43.295086,33.576196,-56.343156,53.297502,-37.769775,-30.905066,46.322496,91.369051,72.300468,63.770310,80.676501,50.313055
13.016319,26.282513,-23.302535,10.922777,-21.701258,-12.071017,30.236246,1.769913,30.187308,23.637404,29.217946,38.740173,38.506003,30.951401,-58.012866,54.700708,-31.408422,-33.205241,48.253240,88.853296,74.714509,62.348729,85.054465,51.969508
14.534945,24.631057,-22.646952,11.195120,-16.739112,-15.199011,41.707842,2.506059,29.694554,25.214234,32.479757,39.077814,39.760833,31.059142,-57.212958,54.274090,-17.718341,-38.315288,59.861063,85.897306,78.892127,60.350331,105.579460,52.795668
15.150470,23.835425,-22.086390,10.369966,-11.490414,-16.497485,49.510752,2.364708,28.557178,25.944589,32.307626,39.836392,43.739465,29.601040,-56.427427,53.077101,1.281898,-41.495502,74.340172,83.688889,82.985669,58.093819,125.493733,51.386663
14.951810,22.680380,-20.763004,10.866837,-7.442591,-18.904302,56.441184,2.971349,27.219649,25.923841,23.485291,40.534479,50.729422,27.900525,-55.787711,52.664187,18.978931,-45.019719,98.674645,82.016235,86.285057,56.155435,141.211443,53.307858
14.713029,21.901793,-21.371584,9.322530,-4.805915,-19.908223,56.679069,2.571514,26.018567,25.486705,10.176494,41.606250,61.934440,26.144793,-56.480703,48.280184,32.263464,-47.721878,124.775891,78.867766,89.198647,54.214843,153.010478,56.074185
16.217588,20.216686,-21.313339,9.219575,-0.320444,-21.268451,53.057887,3.067059,24.418522,26.369651,0.522586,41.754433,66.650865,24.472953,-57.787165,47.680254,40.199271,-50.274355,143.623409,74.563797,93.969266,52.387620,155.019825,59.366255
19.086410,18.937567,-22.222930,7.780274,3.088871,-21.766217,39.837927,3.253648,23.193653,27.826087,-5.154968,42.227264,68.937078,22.497264,-59.026693,44.889563,45.958041,-52.789536,152.580141,69.839204,97.920184,50.590406,153.242634,62.430399
19.363818,18.156462,-22.495174,7.689060,6.733821,-21.923105,21.160082,4.109835,22.361137,29.451114,-7.297032,41.771356,68.656791,20.918808,-59.958741,42.606063,48.831778,-53.732165,154.394980,66.573206,100.475805,49.079857,148.369612,64.893128
20.347547,17.226983,-22.758770,8.317634,10.300106,-21.912486,2.304551,5.116133,21.742526,31.094647,-7.814697,42.035541,69.851123,19.535330,-60.837215,41.059160,50.447135,-54.148413,151.810332,64.475406,102.415009,47.380799,141.614160,66.030752
21.727427,16.160417,-22.837954,8.183000,11.833821,-22.120882,-7.737233,5.895304,20.636835,31.974652,-0.628478,41.713998,69.988138,17.999532,-61.396857,40.832532,48.590512,-54.164377,144.566089,63.058317,104.895233,45.690848,133.987046,65.182569
22.137365,14.940592,-22.917489,7.156431,12.890496,-22.716080,-7.422421,6.240693,19.929082,31.696357,5.399600,41.452110,69.894858,16.343805,-61.796532,40.156480,46.840040,-55.323895,137.307028,61.686627,107.548727,44.671950,122.471011,66.961493
22.579213,13.905275,-22.820756,6.104112,14.229032,-22.803802,-5.550448,6.565404,19.324809,31.478989,5.977764,40.472703,69.711405,15.142434,-62.557012,39.039751,47.160268,-55.482794,130.982345,60.003733,109.855074,44.154061,113.882255,68.039615
23.173708,13.210432,-23.352670,5.682556,14.710518,-23.918382,-3.999757,6.494442,19.025685,31.858419,9.528246,40.836611,69.174762,13.990951,-63.881220,38.562748,47.228855,-56.497194,127.968598,58.428526,110.953077,43.847554,107.956672,72.585855
22.991445,11.901046,-23.457063,5.283969,14.724668,-23.903563,3.652818,7.723025,18.835714,31.814437,9.501567,40.264974,68.001438,12.802136,-65.030736,38.095459,46.576887,-56.312321,124.528799,56.655562,112.670234,42.961533,105.302646,74.016395
23.046299,11.420517,-23.661366,4.884491,14.628656,-23.780529,10.462459,7.439982,19.000647,30.266022,7.671569,40.223245,70.104646,11.667695,-65.606229,38.399129,46.471283,-56.377640,131.457574,56.747161,113.399106,43.225756,105.133016,74.597483
24.350907,11.038608,-24.094666,5.055814,14.462122,-23.500334,12.161688,6.582143,18.277996,28.966478,6.859440,39.916273,75.044668,10.259942,-65.988785,39.063379,47.284559,-56.052835,134.836076,57.862540,114.281745,43.563978,105.089138,74.815003
25.037189,10.025680,-23.827044,5.414035,14.785390,-23.552757,10.507345,6.558675,17.739246,27.556727,6.210850,39.310044,78.787613,8.563021,-66.314026,38.333050,47.139183,-56.553766,133.844510,58.825435,116.198390,43.575784,103.524595,75.575987
26.415547,9.269335,-23.776690,4.868680,14.518512,-23.989129,7.231725,6.118312,16.479923,27.924958,6.908116,38.724465,79.118278,7.336446,-65.958885,38.016616,45.958545,-57.684957,126.401192,58.751729,118.620759,43.497913,101.177434,76.914092
28.024355,8.055624,-23.957317,4.862617,13.494161,-24.163935,6.911998,6.698848,14.650115,32.769210,7.492275,38.038237,81.595651,5.730696,-65.730035,36.179761,44.203063,-59.048493,118.191714,56.806298,121.997347,46.300671,99.113356,79.033037
28.344839,6.026177,-23.318295,6.483227,12.768075,-25.288571,8.913440,7.362120,13.645624,38.066609,6.946710,36.870287,84.812175,3.348883,-66.172064,36.099516,42.020030,-60.499167,112.349369,55.708563,126.186161,65.974754,95.958006,81.855732
28.779192,3.603179,-23.143518,6.592293,11.597453,-25.486353,11.511884,7.412574,11.864919,44.701105,7.417007,36.470095,85.126975,-0.001334,-66.612863,37.389403,40.418783,-61.809653,104.851834,55.256879,131.451267,83.667440,92.210472,84.287204
28.614904,1.678347,-20.765421,5.318632,10.345715,-25.237295,18.634038,6.892999,13.551630,47.997168,8.282347,36.820629,82.592507,-3.098496,-64.816358,38.588771,39.175575,-62.605871,110.561698,54.789149,138.823125,105.608941,89.200167,85.519097
26.914138,-0.169252,-19.590880,3.208219,9.019566,-26.234904,18.208192,7.443042,20.902615,46.009506,8.243377,36.339705,76.491387,-5.328419,-62.708390,39.791320,36.824858,-63.972061,124.878928,53.543322,136.917747,127.564990,87.400427,90.229184
25.928430,-2.242882,-17.832486,-1.954331,7.809832,-25.550471,11.536887,8.351638,31.500991,42.751381,8.996216,35.623209,69.118881,-8.150337,-57.501517,40.840024,35.119507,-64.458965,133.473194,52.316290,126.316219,146.551396,85.392745,91.072917
25.778679,-4.217694,-15.856083,-9.593550,7.234690,-25.717852,2.585831,9.253711,41.425763,37.071248,9.496671,34.801898,69.326256,-10.612708,-51.363840,39.492336,34.271526,-65.185820,133.001040,52.785156,112.245563,159.265404,82.299238,95.605946
25.951431,-5.767173,-13.446066,-11.478629,7.299835,-26.861465,0.279450,10.476178,50.932323,28.774429,9.205767,34.022915,76.386978,-12.419263,-43.840736,41.385801,33.659058,-65.851062,126.416256,54.282333,93.481442,162.344585,78.967013,97.441229
26.570052,-7.675120,-10.158487,-18.004903,5.797633,-27.140179,-0.396777,10.232985,56.381814,14.828685,10.691903,33.784366,69.431799,-14.075809,-33.418551,55.682140,32.070520,-67.419137,123.352196,55.044180,75.490253,161.458944,76.079627,99.807478
26.511372,-8.684679,-5.751786,-13.655060,4.326833,-28.542476,0.594989,10.904784,57.961611,5.495242,11.500657,33.360887,72.406734,-15.639385,-23.239700,61.544350,29.272457,-69.725639,119.993670,55.120851,59.827576,159.564807,73.640977,102.254911
27.358774,-9.961248,-2.752455,-9.439118,2.346873,-29.384903,1.448312,12.124994,57.341810,1.061837,12.496505,32.997305,73.547236,-17.282027,-16.169700,65.611216,26.421379,-71.903066,116.863432,54.569884,45.418715,155.030719,71.922757,105.103713
26.759258,-11.300199,0.645330,-4.228767,1.719724,-29.024034,3.603754,12.717273,54.900260,-2.206337,12.735830,30.631318,73.646787,-19.404872,-10.663061,67.815879,24.993773,-71.832580,113.686217,55.465692,35.788670,145.829272,70.033613,108.472890
25.902331,-13.576912,1.056456,-0.953063,0.909260,-29.606172,6.429269,13.011250,46.554071,-1.865502,12.820814,28.623078,73.409722,-21.695222,-9.970234,68.201794,24.004285,-71.090658,110.394071,56.464967,31.445785,137.295528,68.116352,111.700079
25.688604,-15.525135,0.102309,-0.292124,-0.165551,-28.714997,8.185435,13.077825,43.246441,0.470773,14.050197,27.078552,73.230248,-23.638181,-11.735160,68.126620,22.392365,-70.791458,107.688538,57.039032,31.455661,133.553883,66.611605,115.145082
25.892706,-16.742295,-0.701576,-0.099034,-1.144001,-28.748854,9.050233,12.558475,41.606159,2.230692,14.561115,25.593116,73.891969,-24.705574,-13.216807,66.840935,20.929023,-70.909612,105.747702,57.648612,31.785804,130.638965,66.445085,117.704683
24.718387,-17.094500,-1.358013,2.107904,-1.586091,-28.978688,11.837947,11.027333,40.603193,4.844444,14.834320,23.263583,74.363363,-26.019630,-15.211282,66.608954,20.002213,-71.145899,103.792737,61.561001,33.310722,127.247662,63.974603,120.572628
24.330254,-17.772256,-3.115552,3.065743,-2.696202,-28.082026,12.914014,10.710479,39.355537,7.145539,15.755710,20.959100,74.264489,-28.785968,-18.553253,65.731652,18.019450,-70.929324,101.062767,63.058232,34.149312,122.994136,62.720146,124.851484
23.863209,-19.427841,-5.555191,4.186876,-4.040172,-26.667409,14.616421,12.018646,38.438506,9.451750,16.650646,17.403096,74.700000,-33.298690,-22.876059,64.396679,15.036453,-70.382209,97.475279,63.285950,34.431588,118.488685,62.419043,131.389063
23.599697,-21.922488,-8.218710,4.833484,-5.172198,-25.425271,16.226588,12.575764,37.872438,11.424456,16.830912,12.874193,73.157451,-37.951163,-26.766574,64.559737,12.117898,-69.748564,93.344178,64.444099,35.016581,113.596657,62.559487,139.352257
23.502536,-22.425240,-10.004542,5.399842,-6.186488,-24.079836,17.770786,13.128881,38.415006,13.219002,17.284972,12.484316,72.453843,-40.785029,-30.008099,64.047837,9.166451,-69.520829,89.933307,66.916224,35.888226,109.635047,61.767483,143.704847
24.717172,-23.026159,-11.159694,5.705952,-8.453499,-22.027263,19.892687,13.629243,38.492248,16.204599,17.490156,22.001532,73.789919,-42.785676,-32.308028,61.157519,4.354759,-68.159968,85.884499,70.292712,38.095696,104.625557,61.646642,142.628929
25.872017,-22.920391,-11.711384,4.997666,-11.334552,-20.669555,21.732466,13.863582,38.462620,18.626026,17.655575,33.042248,73.262817,-43.922224,-33.807205,59.880043,-0.971166,-64.702098,81.509811,74.809000,41.208134,99.820233,60.657061,135.660889
25.564722,-21.665966,-11.981653,5.561066,-14.261928,-19.402990,21.240679,15.478411,38.354110,19.636756,17.898793,43.712416,70.212011,-43.754024,-36.053765,59.206858,-6.261738,-57.899659,77.736969,79.312555,45.439399,94.519670,59.283992,123.407046
25.476007,-18.630971,-12.763570,5.565379,-18.346217,-15.906999,21.117058,24.096924,38.300007,21.835555,18.851607,50.156910,67.520897,-39.913861,-38.372386,58.785475,-12.058458,-46.874344,74.265010,78.983025,49.744125,89.204891,57.950908,108.573845
25.693380,-14.450741,-13.130229,5.904279,-22.297530,-12.101788,21.690882,33.417140,37.885415,24.332640,20.793875,53.583966,69.283136,-33.757167,-40.145772,54.121378,-19.007014,-35.159214,70.557699,76.819724,54.306450,84.075553,57.597392,92.689822
25.608748,-6.712665,-14.134961,6.958025,-24.683944,-8.716284,23.617976,36.807814,37.768587,27.485713,23.720515,55.573737,70.766089,-19.808149,-42.534386,50.938852,-24.213755,-25.465273,67.228819,81.857680,57.636220,79.588270,57.542129,77.167604
24.247436,1.631971,-15.795142,8.452582,-25.710813,-8.368423,25.565615,31.450102,38.763614,28.419963,24.255272,54.944137,69.749099,-2.865572,-46.134014,50.486555,-25.837589,-24.621326,64.298997,97.284761,58.858988,76.569688,59.566179,63.701066
22.566030,10.554437,-17.171647,10.307917,-25.162456,-7.883376,29.076537,20.313753,40.027838,28.583053,23.278987,52.861411,72.428671,14.441532,-49.628449,47.873273,-24.687205,-22.651596,61.585999,116.929636,58.321344,74.894935,62.418349,52.998650
22.899445,19.392988,-19.785416,9.794985,-24.328453,-6.154629,30.033510,9.112881,40.641969,29.213472,23.082359,51.913774,73.476610,28.595240,-52.421003,45.723038,-24.780191,-20.035543,59.120764,129.681800,57.870031,73.540237,65.709286,45.181417
