Logging started at 20250522-1628
scale: [3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927]
mid: [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
action space high: [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
action space low: [-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
scale: [3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927]
mid: [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
action space high: [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
action space low: [-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
NVIDIA RTX A6000
Process ID: 66680
[BC Init] Loaded actor weights from weights/bc_sac_pretrained_actor.pth
Note: NumExpr detected 64 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
NumExpr defaulting to 8 threads.
Initial state shape: (47,)
Num steps: 10000    Return: -31655.3   Time: 0:00:05
Num steps: 20000    Return: -12159.1   Time: 0:02:05
Num steps: 30000    Return: -25537.1   Time: 0:04:14
Num steps: 40000    Return: -4888.2   Time: 0:06:21
Num steps: 50000    Return: -39368.0   Time: 0:08:28
Num steps: 60000    Return: -8364.6   Time: 0:10:51
Num steps: 70000    Return: -20829.3   Time: 0:13:10
Num steps: 80000    Return: -15653.0   Time: 0:15:28
Num steps: 90000    Return: -16916.6   Time: 0:17:39
Num steps: 100000   Return: -22008.3   Time: 0:19:53
Num steps: 110000   Return: -19003.4   Time: 0:22:03
Num steps: 120000   Return: -16168.0   Time: 0:23:47
Num steps: 130000   Return: -27868.9   Time: 0:25:34
Num steps: 140000   Return: -46379.6   Time: 0:27:19
Num steps: 150000   Return: -18134.8   Time: 0:29:07
Num steps: 160000   Return: -23883.5   Time: 0:30:53
Num steps: 170000   Return: -24946.5   Time: 0:32:42
Num steps: 180000   Return: -7906.7   Time: 0:34:30
Num steps: 190000   Return: -17283.5   Time: 0:36:16
Num steps: 200000   Return: -4354.0   Time: 0:37:59
Num steps: 210000   Return: -17729.1   Time: 0:39:40
Num steps: 220000   Return: -25478.6   Time: 0:41:28
Num steps: 230000   Return: -18962.2   Time: 0:43:16
Num steps: 240000   Return: -15368.0   Time: 0:44:59
Num steps: 250000   Return: -15872.2   Time: 0:46:48
Num steps: 260000   Return: -26254.0   Time: 0:48:34
Num steps: 270000   Return: -26191.5   Time: 0:50:22
Num steps: 280000   Return: -11963.4   Time: 0:52:12
Num steps: 290000   Return: -19978.6   Time: 0:53:57
Num steps: 300000   Return: -5804.1   Time: 0:55:42
Num steps: 310000   Return: -20616.2   Time: 0:57:32
Num steps: 320000   Return: -24644.2   Time: 0:59:18
Num steps: 330000   Return: -13183.8   Time: 1:01:04
Num steps: 340000   Return: -5841.9   Time: 1:02:50
Num steps: 350000   Return: -8796.3   Time: 1:04:34
Num steps: 360000   Return: -6298.6   Time: 1:06:18
Num steps: 370000   Return: -15305.2   Time: 1:08:12
Num steps: 380000   Return: -15424.3   Time: 1:10:04
Num steps: 390000   Return: -14449.0   Time: 1:12:05
Num steps: 400000   Return: -7558.2   Time: 1:14:07
Num steps: 410000   Return: -5052.4   Time: 1:16:02
Num steps: 420000   Return: -7576.3   Time: 1:17:40
Num steps: 430000   Return: -12182.0   Time: 1:19:37
Num steps: 440000   Return: -11493.5   Time: 1:21:32
Num steps: 450000   Return: -21172.1   Time: 1:23:32
Num steps: 460000   Return: -9950.3   Time: 1:25:37
Num steps: 470000   Return: -15081.5   Time: 1:27:22
Num steps: 480000   Return: -10785.3   Time: 1:29:14
Num steps: 490000   Return: -8551.7   Time: 1:31:00
Num steps: 500000   Return: -9085.8   Time: 1:32:51
Num steps: 510000   Return: 1660.8   Time: 1:34:41
Num steps: 520000   Return: -10225.5   Time: 1:36:38
Num steps: 530000   Return: -8716.3   Time: 1:38:36
Num steps: 540000   Return: -5411.4   Time: 1:40:32
Num steps: 550000   Return: -9592.9   Time: 1:42:28
Num steps: 560000   Return: -15930.9   Time: 1:44:24
Num steps: 570000   Return: -5282.4   Time: 1:46:15
Num steps: 580000   Return: -8424.7   Time: 1:48:13
Num steps: 590000   Return: -5344.3   Time: 1:50:07
Num steps: 600000   Return: -14813.9   Time: 1:52:02
Num steps: 610000   Return: -7911.8   Time: 1:54:05
Num steps: 620000   Return: -2431.9   Time: 1:55:59
Num steps: 630000   Return: -11619.1   Time: 1:58:02
Num steps: 640000   Return: -15376.4   Time: 2:00:04
Num steps: 650000   Return: -7229.9   Time: 2:02:07
Num steps: 660000   Return: -5593.6   Time: 2:04:04
Num steps: 670000   Return: -8383.7   Time: 2:06:14
Num steps: 680000   Return: -3182.6   Time: 2:08:08
Num steps: 690000   Return: -6155.9   Time: 2:10:03
Num steps: 700000   Return: -15448.5   Time: 2:12:04
Num steps: 710000   Return: -10701.8   Time: 2:14:07
Num steps: 720000   Return: -5850.4   Time: 2:16:07
Num steps: 730000   Return: -1381.0   Time: 2:18:02
Num steps: 740000   Return: 2987.3   Time: 2:19:53
Num steps: 750000   Return: -9571.7   Time: 2:21:51
Num steps: 760000   Return: 906.0   Time: 2:23:44
Num steps: 770000   Return: 623.6   Time: 2:25:40
Num steps: 780000   Return: -4031.0   Time: 2:27:38
Num steps: 790000   Return: -14444.9   Time: 2:29:34
Num steps: 800000   Return: 662.7   Time: 2:31:29
Num steps: 810000   Return: -3031.9   Time: 2:33:29
Num steps: 820000   Return: -6590.6   Time: 2:35:22
Num steps: 830000   Return: 2925.8   Time: 2:37:20
Num steps: 840000   Return: -3428.2   Time: 2:39:11
Num steps: 850000   Return: -7761.9   Time: 2:40:59
Num steps: 860000   Return: -8210.1   Time: 2:42:49
Num steps: 870000   Return: -4776.7   Time: 2:44:34
Num steps: 880000   Return: -3667.6   Time: 2:46:23
Num steps: 890000   Return: -8000.3   Time: 2:48:06
