Logging started at 20250428-1532
NVIDIA RTX A6000
Process ID: 1920690
Note: NumExpr detected 64 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
NumExpr defaulting to 8 threads.
Initial state shape: (47,)
Num steps: 10000    Return: 2417.3   Time: 0:00:11
Num steps: 20000    Return: 56.5    Time: 0:01:58
Num steps: 30000    Return: -12.7   Time: 0:03:48
Num steps: 40000    Return: 126.9   Time: 0:05:46
Num steps: 50000    Return: 912.3   Time: 0:07:34
Num steps: 60000    Return: 1286.9   Time: 0:09:16
Num steps: 70000    Return: 204.6   Time: 0:10:56
Num steps: 80000    Return: 361.8   Time: 0:12:34
Num steps: 90000    Return: 403.9   Time: 0:14:09
Num steps: 100000   Return: 452.9   Time: 0:15:47
Num steps: 110000   Return: 210.3   Time: 0:17:24
Num steps: 120000   Return: 29.7    Time: 0:19:38
Num steps: 130000   Return: 42.1    Time: 0:21:35
Num steps: 140000   Return: 1226.1   Time: 0:23:34
Num steps: 150000   Return: 995.5   Time: 0:25:29
Num steps: 160000   Return: 349.8   Time: 0:27:28
Num steps: 170000   Return: 948.1   Time: 0:29:25
Num steps: 180000   Return: -28.6   Time: 0:31:23
Num steps: 190000   Return: 1061.9   Time: 0:33:24
Num steps: 200000   Return: 719.9   Time: 0:35:20
Num steps: 210000   Return: 153.7   Time: 0:37:19
Num steps: 220000   Return: 162.7   Time: 0:39:14
Num steps: 230000   Return: 749.7   Time: 0:41:13
Num steps: 240000   Return: 831.3   Time: 0:43:10
Num steps: 250000   Return: 757.4   Time: 0:45:11
Num steps: 260000   Return: 681.3   Time: 0:47:10
Num steps: 270000   Return: 292.1   Time: 0:49:11
Num steps: 280000   Return: 950.0   Time: 0:51:08
Num steps: 290000   Return: 823.0   Time: 0:52:49
Num steps: 300000   Return: 1215.4   Time: 0:54:31
Num steps: 310000   Return: 195.2   Time: 0:56:16
Num steps: 320000   Return: 257.5   Time: 0:58:36
Num steps: 330000   Return: 493.7   Time: 1:00:36
Num steps: 340000   Return: 438.1   Time: 1:02:32
Num steps: 350000   Return: 306.3   Time: 1:04:53
Num steps: 360000   Return: 978.0   Time: 1:06:52
Num steps: 370000   Return: 492.8   Time: 1:08:52
Num steps: 380000   Return: 842.7   Time: 1:10:55
Num steps: 390000   Return: 1050.0   Time: 1:12:53
Num steps: 400000   Return: 2415.2   Time: 1:14:57
Num steps: 410000   Return: 2363.8   Time: 1:16:57
Num steps: 420000   Return: 479.5   Time: 1:18:56
Num steps: 430000   Return: 1293.9   Time: 1:20:51
Num steps: 440000   Return: 895.2   Time: 1:22:43
Num steps: 450000   Return: 879.5   Time: 1:24:26
Num steps: 460000   Return: 904.2   Time: 1:26:11
Num steps: 470000   Return: 1201.7   Time: 1:27:54
Num steps: 480000   Return: 450.5   Time: 1:29:39
Num steps: 490000   Return: 1320.6   Time: 1:31:25
Num steps: 500000   Return: 545.1   Time: 1:33:09
Num steps: 510000   Return: 2025.3   Time: 1:34:53
Num steps: 520000   Return: 187.6   Time: 1:36:35
Num steps: 530000   Return: 261.8   Time: 1:38:21
Num steps: 540000   Return: 1258.2   Time: 1:40:10
Num steps: 550000   Return: 198.2   Time: 1:42:05
Num steps: 560000   Return: 709.9   Time: 1:43:55
Num steps: 570000   Return: 844.8   Time: 1:45:48
Num steps: 580000   Return: 640.5   Time: 1:47:37
Num steps: 590000   Return: 1552.2   Time: 1:49:27
Num steps: 600000   Return: 2490.7   Time: 1:51:21
Num steps: 610000   Return: 1367.9   Time: 1:53:09
Num steps: 620000   Return: 383.7   Time: 1:54:58
Num steps: 630000   Return: 975.2   Time: 1:56:45
Num steps: 640000   Return: 276.4   Time: 1:58:21
Num steps: 650000   Return: 2033.1   Time: 2:00:01
Num steps: 660000   Return: 242.7   Time: 2:01:40
Num steps: 670000   Return: 582.8   Time: 2:03:14
Num steps: 680000   Return: 1393.3   Time: 2:04:50
Num steps: 690000   Return: 2179.5   Time: 2:06:28
Num steps: 700000   Return: 191.3   Time: 2:08:30
Num steps: 710000   Return: 434.4   Time: 2:10:15
Num steps: 720000   Return: 1093.0   Time: 2:12:03
Num steps: 730000   Return: 400.4   Time: 2:13:49
Num steps: 740000   Return: 284.9   Time: 2:15:37
Num steps: 750000   Return: 1536.1   Time: 2:17:30
Num steps: 760000   Return: 304.0   Time: 2:19:13
Num steps: 770000   Return: 860.4   Time: 2:20:57
