Logging started at 20250515-1400
NVIDIA RTX A6000
Process ID: 3064721
Env: StickInsect-v4, experts/StickInsect_states_v1.pt, experts/StickInsect_actions_v1.pt, Seed: 0
Rollout length: 3000
Num steps: 2000000, Eval interval: 10000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 0.0001, lr_critic: 0.0001, lr_disc: 0.0001
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc R: (100, 100), Units Disc V: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.01, Max Grad Norm: 10.0
Load data states: (2749, 47), actions: (2749, 18)
Expert data states: (2748, 47), actions: (2748, 18)
Expert buffer size: 2748
Initial state shape: (47,)
Num steps: 10000    Return: 3017.1   Time: 0:00:22
Num steps: 20000    Return: 3024.2   Time: 0:00:43
Num steps: 30000    Return: 2990.7   Time: 0:01:05
Num steps: 40000    Return: 3014.9   Time: 0:01:27
Num steps: 50000    Return: 2983.5   Time: 0:01:48
Num steps: 60000    Return: 3019.0   Time: 0:02:10
Num steps: 70000    Return: 2976.3   Time: 0:02:32
Num steps: 80000    Return: 3000.0   Time: 0:02:53
Num steps: 90000    Return: 3047.2   Time: 0:03:15
Num steps: 100000   Return: 3019.5   Time: 0:03:37
Num steps: 110000   Return: 2966.5   Time: 0:03:58
Num steps: 120000   Return: 2999.0   Time: 0:04:20
Num steps: 130000   Return: 3016.1   Time: 0:04:42
Num steps: 140000   Return: 3034.8   Time: 0:05:03
Num steps: 150000   Return: 3036.2   Time: 0:05:26
Num steps: 160000   Return: 2976.1   Time: 0:05:47
Num steps: 170000   Return: 2993.8   Time: 0:06:09
Num steps: 180000   Return: 3032.0   Time: 0:06:31
Num steps: 190000   Return: 2997.6   Time: 0:06:52
Num steps: 200000   Return: 3028.2   Time: 0:07:14
Num steps: 210000   Return: 2985.3   Time: 0:07:36
Num steps: 220000   Return: 2487.4   Time: 0:07:56
Num steps: 230000   Return: 2975.8   Time: 0:08:18
Num steps: 240000   Return: 3023.8   Time: 0:08:40
Num steps: 250000   Return: 3018.5   Time: 0:09:02
Num steps: 260000   Return: 3040.2   Time: 0:09:23
Num steps: 270000   Return: 2473.1   Time: 0:09:44
Num steps: 280000   Return: 2503.5   Time: 0:10:04
Num steps: 290000   Return: 3015.5   Time: 0:10:25
Num steps: 300000   Return: 3016.1   Time: 0:10:48
Num steps: 310000   Return: 3112.0   Time: 0:11:10
Num steps: 320000   Return: 2988.0   Time: 0:11:32
Num steps: 330000   Return: 3047.1   Time: 0:11:54
Num steps: 340000   Return: 3059.8   Time: 0:12:16
Num steps: 350000   Return: 3004.2   Time: 0:12:38
Num steps: 360000   Return: 3061.6   Time: 0:13:00
Num steps: 370000   Return: 3009.5   Time: 0:13:22
Num steps: 380000   Return: 3047.5   Time: 0:13:44
Num steps: 390000   Return: 3042.9   Time: 0:14:06
Num steps: 400000   Return: 3037.7   Time: 0:14:28
Num steps: 410000   Return: 2996.3   Time: 0:14:50
Num steps: 420000   Return: 3030.7   Time: 0:15:12
Num steps: 430000   Return: 3000.4   Time: 0:15:34
Num steps: 440000   Return: 3026.8   Time: 0:15:56
Num steps: 450000   Return: 3018.6   Time: 0:16:18
Num steps: 460000   Return: 3041.8   Time: 0:16:40
Num steps: 470000   Return: 2975.7   Time: 0:17:01
Num steps: 480000   Return: 3019.4   Time: 0:17:24
Num steps: 490000   Return: 3007.3   Time: 0:17:46
Num steps: 500000   Return: 2991.7   Time: 0:18:07
Num steps: 510000   Return: 3031.5   Time: 0:18:30
Num steps: 520000   Return: 3025.6   Time: 0:18:51
Num steps: 530000   Return: 2991.2   Time: 0:19:13
Num steps: 540000   Return: 2996.8   Time: 0:19:35
Num steps: 550000   Return: 2993.5   Time: 0:19:56
Num steps: 560000   Return: 2997.7   Time: 0:20:18
Num steps: 570000   Return: 3021.2   Time: 0:20:40
Num steps: 580000   Return: 3012.5   Time: 0:21:01
Num steps: 590000   Return: 3011.1   Time: 0:21:23
Num steps: 600000   Return: 3050.1   Time: 0:21:45
Num steps: 610000   Return: 2997.2   Time: 0:22:06
Num steps: 620000   Return: 2991.6   Time: 0:22:28
Num steps: 630000   Return: 3038.6   Time: 0:22:50
Num steps: 640000   Return: 2995.3   Time: 0:23:11
Num steps: 650000   Return: 3099.4   Time: 0:23:33
Num steps: 660000   Return: 3048.9   Time: 0:23:55
Num steps: 670000   Return: 3011.3   Time: 0:24:17
Num steps: 680000   Return: 3050.6   Time: 0:24:38
Num steps: 690000   Return: 3010.9   Time: 0:25:00
Num steps: 700000   Return: 3035.9   Time: 0:25:22
Num steps: 710000   Return: 2970.2   Time: 0:25:43
Num steps: 720000   Return: 2978.8   Time: 0:26:05
Num steps: 730000   Return: 2444.6   Time: 0:26:24
Num steps: 740000   Return: 2967.7   Time: 0:26:46
Num steps: 750000   Return: 2999.5   Time: 0:27:08
Num steps: 760000   Return: 2991.4   Time: 0:27:29
Num steps: 770000   Return: 2984.2   Time: 0:27:51
Num steps: 780000   Return: 2988.8   Time: 0:28:13
Num steps: 790000   Return: 3014.7   Time: 0:28:34
Num steps: 800000   Return: 3033.4   Time: 0:28:56
Num steps: 810000   Return: 3008.2   Time: 0:29:18
Num steps: 820000   Return: 2976.6   Time: 0:29:40
Num steps: 830000   Return: 2993.5   Time: 0:30:01
Num steps: 840000   Return: 2988.4   Time: 0:30:23
Num steps: 850000   Return: 2991.1   Time: 0:30:45
Num steps: 860000   Return: 3025.1   Time: 0:31:07
Num steps: 870000   Return: 3064.5   Time: 0:31:29
Num steps: 880000   Return: 3021.3   Time: 0:31:50
Num steps: 890000   Return: 2984.7   Time: 0:32:12
Num steps: 900000   Return: 2996.5   Time: 0:32:34
Num steps: 910000   Return: 3025.2   Time: 0:32:55
Num steps: 920000   Return: 3000.3   Time: 0:33:16
Num steps: 930000   Return: 2975.3   Time: 0:33:38
Num steps: 940000   Return: 2468.1   Time: 0:33:58
Num steps: 950000   Return: 3062.8   Time: 0:34:20
Num steps: 960000   Return: 2979.2   Time: 0:34:42
Num steps: 970000   Return: 3025.9   Time: 0:35:03
Num steps: 980000   Return: 3028.3   Time: 0:35:25
Num steps: 990000   Return: 2997.6   Time: 0:35:47
Num steps: 1000000   Return: 3008.5   Time: 0:36:09
Num steps: 1010000   Return: 3016.8   Time: 0:36:30
Num steps: 1020000   Return: 3001.1   Time: 0:36:52
Num steps: 1030000   Return: 3030.1   Time: 0:37:14
Num steps: 1040000   Return: 2437.9   Time: 0:37:34
Num steps: 1050000   Return: 3033.5   Time: 0:37:56
Num steps: 1060000   Return: 3081.6   Time: 0:38:18
Num steps: 1070000   Return: 3080.0   Time: 0:38:39
