Logging started at 20250727-1751
scale: [1. 1. 1. 1. 1. 1. 1. 1.]
mid: [0. 0. 0. 0. 0. 0. 0. 0.]
action space high: [1. 1. 1. 1. 1. 1. 1. 1.]
action space low: [-1. -1. -1. -1. -1. -1. -1. -1.]
scale: [1. 1. 1. 1. 1. 1. 1. 1.]
mid: [0. 0. 0. 0. 0. 0. 0. 0.]
action space high: [1. 1. 1. 1. 1. 1. 1. 1.]
action space low: [-1. -1. -1. -1. -1. -1. -1. -1.]
NVIDIA GeForce RTX 4060 Laptop GPU
Process ID: 18068
Env: Ant-v4, experts/Ant_states.pt, experts/Ant_actions.pt, Seed: 0
Rollout length: 1000
Num steps: 2000000, Eval interval: 10000
Gamma: 0.995, Mix buffer: 1, Batch size: 64
lr_actor: 0.0001, lr_critic: 0.0001, lr_disc: 0.0001
Units Actor: (64, 64), Units Critic: (64, 64)
Units Disc R: (100, 100), Units Disc V: (100, 100)
Epoch ppo: 50, Epoch disc: 10
Clip Epsc: 0.2, Lambda: 0.97, Coef Ent: 0.01, Max Grad Norm: 10.0
Load data states: (64, 1000, 27), actions: (64, 1000, 8)
Expert data states: (63936, 27), actions: (63936, 8)
normalized expert action high: 0.9990000128746033
normalized expert action low: -0.9990000128746033
Expert buffer size: 63936
Initial state shape: (27,)
Num steps: 10000    Return: 848.6   Time: 0:00:07
Num steps: 20000    Return: 756.3   Time: 0:00:14
Num steps: 30000    Return: 659.4   Time: 0:00:21
Num steps: 40000    Return: 627.2   Time: 0:00:28
Num steps: 50000    Return: 579.2   Time: 0:00:35
Num steps: 60000    Return: 476.7   Time: 0:00:42
Num steps: 70000    Return: 460.5   Time: 0:00:49
Num steps: 80000    Return: 403.6   Time: 0:00:56
Num steps: 90000    Return: 537.7   Time: 0:01:03
Num steps: 100000   Return: 556.5   Time: 0:01:10
Num steps: 110000   Return: 397.3   Time: 0:01:17
Num steps: 120000   Return: 141.6   Time: 0:01:24
Num steps: 130000   Return: 202.4   Time: 0:01:31
Num steps: 140000   Return: 186.5   Time: 0:01:38
Num steps: 150000   Return: 67.5    Time: 0:01:45
Num steps: 160000   Return: -58.9   Time: 0:01:52
Num steps: 170000   Return: -137.8   Time: 0:01:58
Num steps: 180000   Return: -269.6   Time: 0:02:05
Num steps: 190000   Return: -407.3   Time: 0:02:12
Num steps: 200000   Return: -470.4   Time: 0:02:19
Num steps: 210000   Return: -407.4   Time: 0:02:26
Num steps: 220000   Return: -345.9   Time: 0:02:33
Num steps: 230000   Return: -73.7   Time: 0:02:40
Num steps: 240000   Return: -103.3   Time: 0:02:47
Num steps: 250000   Return: -49.5   Time: 0:02:54
Num steps: 260000   Return: -160.2   Time: 0:03:01
Num steps: 270000   Return: -179.2   Time: 0:03:08
Num steps: 280000   Return: -39.3   Time: 0:03:15
Num steps: 290000   Return: 59.8    Time: 0:03:22
Num steps: 300000   Return: 75.7    Time: 0:03:29
Num steps: 310000   Return: 107.8   Time: 0:03:36
Num steps: 320000   Return: -18.3   Time: 0:03:43
Num steps: 330000   Return: 142.1   Time: 0:03:50
Num steps: 340000   Return: 397.9   Time: 0:03:57
Num steps: 350000   Return: 206.9   Time: 0:04:04
Num steps: 360000   Return: 123.7   Time: 0:04:11
Num steps: 370000   Return: 18.9    Time: 0:04:18
Num steps: 380000   Return: -32.4   Time: 0:04:25
Num steps: 390000   Return: -13.3   Time: 0:04:32
Num steps: 400000   Return: -24.2   Time: 0:04:39
Num steps: 410000   Return: 3.3     Time: 0:04:46
Num steps: 420000   Return: -31.1   Time: 0:04:53
Num steps: 430000   Return: -91.3   Time: 0:05:00
Num steps: 440000   Return: -40.5   Time: 0:05:07
Num steps: 450000   Return: -50.0   Time: 0:05:14
Num steps: 460000   Return: -24.5   Time: 0:05:21
Num steps: 470000   Return: -58.3   Time: 0:05:28
Num steps: 480000   Return: -114.1   Time: 0:05:35
Num steps: 490000   Return: -77.7   Time: 0:05:42
Num steps: 500000   Return: 31.2    Time: 0:05:49
Num steps: 510000   Return: -148.2   Time: 0:05:56
Num steps: 520000   Return: 188.3   Time: 0:06:03
Num steps: 530000   Return: 684.1   Time: 0:06:10
Num steps: 540000   Return: 552.3   Time: 0:06:16
Num steps: 550000   Return: 356.9   Time: 0:06:23
Num steps: 560000   Return: 531.1   Time: 0:06:30
Num steps: 570000   Return: 1041.3   Time: 0:06:37
Num steps: 580000   Return: 746.2   Time: 0:06:43
Num steps: 590000   Return: 920.8   Time: 0:06:50
Num steps: 600000   Return: 498.4   Time: 0:06:57
Num steps: 610000   Return: 749.8   Time: 0:07:04
Num steps: 620000   Return: 1099.6   Time: 0:07:11
Num steps: 630000   Return: 1378.2   Time: 0:07:18
Num steps: 640000   Return: 1338.5   Time: 0:07:25
Num steps: 650000   Return: 1533.7   Time: 0:07:32
Num steps: 660000   Return: 1406.3   Time: 0:07:39
Num steps: 670000   Return: 1172.9   Time: 0:07:46
Num steps: 680000   Return: 1293.2   Time: 0:07:52
Num steps: 690000   Return: 741.2   Time: 0:07:59
Num steps: 700000   Return: 1489.2   Time: 0:08:05
Num steps: 710000   Return: 1963.0   Time: 0:08:12
Num steps: 720000   Return: 1844.9   Time: 0:08:19
Num steps: 730000   Return: 1414.5   Time: 0:08:25
Num steps: 740000   Return: 872.4   Time: 0:08:32
Num steps: 750000   Return: 1558.8   Time: 0:08:39
Num steps: 760000   Return: 1459.5   Time: 0:08:46
Num steps: 770000   Return: 1612.1   Time: 0:08:53
Num steps: 780000   Return: 1759.5   Time: 0:08:59
Num steps: 790000   Return: 2031.8   Time: 0:09:06
Num steps: 800000   Return: 1784.6   Time: 0:09:13
