Logging started at 20250522-0957
scale: [3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927]
mid: [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
action space high: [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
action space low: [-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
scale: [3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927]
mid: [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
action space high: [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
action space low: [-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
NVIDIA RTX A6000
Process ID: 4012597
[BC Init] Loaded actor weights from weights/bc_sac_pretrained_actor.pth
Note: NumExpr detected 64 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
NumExpr defaulting to 8 threads.
Initial state shape: (47,)
Num steps: 10000    Return: -16137.1   Time: 0:00:04
Num steps: 20000    Return: -20079.5   Time: 0:02:09
Num steps: 30000    Return: -7888.8   Time: 0:04:08
Num steps: 40000    Return: -18867.3   Time: 0:06:20
Num steps: 50000    Return: -21751.0   Time: 0:08:26
Num steps: 60000    Return: -12377.8   Time: 0:10:31
Num steps: 70000    Return: -18433.4   Time: 0:12:36
Num steps: 80000    Return: -29973.7   Time: 0:14:41
Num steps: 90000    Return: -5770.6   Time: 0:16:44
Num steps: 100000   Return: -12310.1   Time: 0:18:48
Num steps: 110000   Return: -10230.9   Time: 0:20:48
Num steps: 120000   Return: -7765.5   Time: 0:22:36
Num steps: 130000   Return: -2763.6   Time: 0:24:22
Num steps: 140000   Return: -29632.3   Time: 0:26:08
Num steps: 150000   Return: -8817.8   Time: 0:27:54
Num steps: 160000   Return: -21501.2   Time: 0:29:47
Num steps: 170000   Return: -16218.0   Time: 0:31:35
Num steps: 180000   Return: -23977.1   Time: 0:33:23
Num steps: 190000   Return: -21919.6   Time: 0:35:05
Num steps: 200000   Return: -26020.4   Time: 0:36:45
Num steps: 210000   Return: -24759.2   Time: 0:38:27
Num steps: 220000   Return: -7328.4   Time: 0:40:14
Num steps: 230000   Return: -5188.1   Time: 0:41:57
Num steps: 240000   Return: -18411.9   Time: 0:43:45
Num steps: 250000   Return: -3476.7   Time: 0:45:37
Num steps: 260000   Return: -2555.9   Time: 0:47:26
Num steps: 270000   Return: -18582.8   Time: 0:49:13
Num steps: 280000   Return: -8440.9   Time: 0:50:56
Num steps: 290000   Return: -16008.1   Time: 0:52:36
Num steps: 300000   Return: -8312.5   Time: 0:54:19
Num steps: 310000   Return: -9729.4   Time: 0:56:02
Num steps: 320000   Return: -4406.5   Time: 0:57:49
Num steps: 330000   Return: -13601.4   Time: 0:59:35
Num steps: 340000   Return: -2465.2   Time: 1:01:20
Num steps: 350000   Return: -18202.6   Time: 1:03:05
Num steps: 360000   Return: -3900.9   Time: 1:04:52
Num steps: 370000   Return: -16146.7   Time: 1:06:37
Num steps: 380000   Return: -2944.4   Time: 1:08:23
Num steps: 390000   Return: -17406.6   Time: 1:10:14
Num steps: 400000   Return: -7794.0   Time: 1:12:01
Num steps: 410000   Return: -5443.8   Time: 1:13:48
Num steps: 420000   Return: -13776.2   Time: 1:15:42
Num steps: 430000   Return: -3108.5   Time: 1:17:36
Num steps: 440000   Return: -8838.3   Time: 1:19:30
Num steps: 450000   Return: -20417.5   Time: 1:21:20
Num steps: 460000   Return: -12311.8   Time: 1:23:10
Num steps: 470000   Return: -13912.8   Time: 1:24:57
Num steps: 480000   Return: -8464.6   Time: 1:26:47
Num steps: 490000   Return: -30664.7   Time: 1:28:36
Num steps: 500000   Return: -6042.5   Time: 1:30:26
Num steps: 510000   Return: -19933.7   Time: 1:32:15
Num steps: 520000   Return: -11122.1   Time: 1:34:06
Num steps: 530000   Return: -13897.0   Time: 1:35:59
Num steps: 540000   Return: -20324.7   Time: 1:37:51
Num steps: 550000   Return: -5628.9   Time: 1:39:43
Num steps: 560000   Return: -3647.9   Time: 1:41:34
Num steps: 570000   Return: -15580.0   Time: 1:43:27
Num steps: 580000   Return: 163.0   Time: 1:45:17
Num steps: 590000   Return: -10943.9   Time: 1:47:02
Num steps: 600000   Return: -29329.9   Time: 1:48:50
Num steps: 610000   Return: -5450.4   Time: 1:50:40
Num steps: 620000   Return: -6069.1   Time: 1:52:29
Num steps: 630000   Return: -7452.2   Time: 1:54:18
Num steps: 640000   Return: -16390.9   Time: 1:56:09
Num steps: 650000   Return: -18313.9   Time: 1:58:00
Num steps: 660000   Return: -16052.8   Time: 1:59:51
Num steps: 670000   Return: -2374.4   Time: 2:01:42
Num steps: 680000   Return: 2184.9   Time: 2:03:28
Num steps: 690000   Return: -15097.5   Time: 2:05:19
Num steps: 700000   Return: -4249.3   Time: 2:07:11
Num steps: 710000   Return: 1492.6   Time: 2:08:58
Num steps: 720000   Return: -23921.7   Time: 2:10:51
Num steps: 730000   Return: -764.5   Time: 2:12:40
Num steps: 740000   Return: -19598.9   Time: 2:14:32
Num steps: 750000   Return: -6750.7   Time: 2:16:21
Num steps: 760000   Return: -8970.9   Time: 2:18:11
Num steps: 770000   Return: -5297.0   Time: 2:20:03
Num steps: 780000   Return: -24452.9   Time: 2:21:55
Num steps: 790000   Return: 1529.1   Time: 2:23:43
Num steps: 800000   Return: -3443.5   Time: 2:25:33
Num steps: 810000   Return: 5400.9   Time: 2:27:26
Num steps: 820000   Return: 4409.5   Time: 2:29:20
Num steps: 830000   Return: -23231.7   Time: 2:31:11
Num steps: 840000   Return: -3157.3   Time: 2:32:58
Num steps: 850000   Return: -24046.3   Time: 2:34:44
Num steps: 860000   Return: -631.1   Time: 2:36:29
Num steps: 870000   Return: -10689.0   Time: 2:38:15
Num steps: 880000   Return: -11108.4   Time: 2:40:05
Num steps: 890000   Return: 3092.9   Time: 2:41:55
Num steps: 900000   Return: -11366.1   Time: 2:43:46
Num steps: 910000   Return: -234.4   Time: 2:45:34
Num steps: 920000   Return: 4631.0   Time: 2:47:20
Num steps: 930000   Return: -12559.4   Time: 2:49:10
Num steps: 940000   Return: -19519.5   Time: 2:51:03
Num steps: 950000   Return: -14921.5   Time: 2:52:52
Num steps: 960000   Return: -8675.9   Time: 2:54:41
Num steps: 970000   Return: -22193.6   Time: 2:56:26
Num steps: 980000   Return: -12921.6   Time: 2:58:15
Num steps: 990000   Return: -16761.7   Time: 2:59:58
Num steps: 1000000   Return: -6497.2   Time: 3:01:44
