Logging started at 20250527-1903
scale: [3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927]
mid: [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
action space high: [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
action space low: [-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
scale: [3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927 3.1415927
 3.1415927 3.1415927 3.1415927 3.1415927]
mid: [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
action space high: [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
action space low: [-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
NVIDIA RTX A6000
Process ID: 1320091
[BC Init] Loaded actor weights from weights/bc_sac_pretrained_actor.pth
Note: NumExpr detected 64 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
NumExpr defaulting to 8 threads.
Initial state shape: (47,)
Num steps: 10000    Return: -6348.4   Time: 0:00:06
Num steps: 20000    Return: -2666.3   Time: 0:02:14
Num steps: 30000    Return: -2172.9   Time: 0:04:23
Num steps: 40000    Return: -1373.2   Time: 0:06:20
Num steps: 50000    Return: -6946.5   Time: 0:08:32
Num steps: 60000    Return: -1114.0   Time: 0:10:36
Num steps: 70000    Return: -1033.8   Time: 0:12:40
Num steps: 80000    Return: -431.5   Time: 0:14:45
Num steps: 90000    Return: -2133.5   Time: 0:16:46
Num steps: 100000   Return: -22.6   Time: 0:18:54
Num steps: 110000   Return: -587.1   Time: 0:21:02
Num steps: 120000   Return: -71.7   Time: 0:23:04
Num steps: 130000   Return: -59.9   Time: 0:25:16
Num steps: 140000   Return: -17192.2   Time: 0:27:25
Num steps: 150000   Return: 6.8     Time: 0:29:27
Num steps: 160000   Return: 182.1   Time: 0:31:27
Num steps: 170000   Return: 178.3   Time: 0:33:40
Num steps: 180000   Return: 290.2   Time: 0:35:50
Num steps: 190000   Return: 93.8    Time: 0:37:55
Num steps: 200000   Return: 98.9    Time: 0:40:04
Num steps: 210000   Return: 141.3   Time: 0:42:07
Num steps: 220000   Return: 161.4   Time: 0:44:13
Num steps: 230000   Return: -25.4   Time: 0:46:23
Num steps: 240000   Return: 518.0   Time: 0:48:27
Num steps: 250000   Return: 170.7   Time: 0:50:32
Num steps: 260000   Return: 331.8   Time: 0:52:42
Num steps: 270000   Return: 1145.1   Time: 0:54:43
Num steps: 280000   Return: 403.9   Time: 0:56:43
Num steps: 290000   Return: 751.4   Time: 0:58:46
Num steps: 300000   Return: -1371.9   Time: 1:00:45
Num steps: 310000   Return: -303.7   Time: 1:02:55
Num steps: 320000   Return: 208.2   Time: 1:04:50
