9.799999999999999822e-01,6.300000000000000044e-01,6.709999999999999964e+00
7.199999999999999734e-01,4.799999999999999822e-01,7.000000000000000000e+00
4.500000000000000111e-01,4.199999999999999845e-01,7.280000000000000249e+00
7.800000000000000266e-01,5.100000000000000089e-01,7.099999999999999645e+00
6.800000000000000488e-01,6.999999999999999556e-01,7.450000000000000178e+00
7.299999999999999822e-01,5.799999999999999600e-01,7.309999999999999609e+00
6.600000000000000311e-01,4.600000000000000200e-01,6.769999999999999574e+00
6.300000000000000044e-01,4.099999999999999756e-01,7.139999999999999680e+00
9.000000000000000222e-01,5.100000000000000089e-01,6.570000000000000284e+00
5.699999999999999512e-01,5.899999999999999689e-01,6.879999999999999893e+00
5.200000000000000178e-01,5.500000000000000444e-01,7.169999999999999929e+00
8.100000000000000533e-01,5.000000000000000000e-01,6.389999999999999680e+00
6.199999999999999956e-01,5.699999999999999512e-01,7.269999999999999574e+00
7.900000000000000355e-01,4.600000000000000200e-01,6.929999999999999716e+00
7.299999999999999822e-01,5.100000000000000089e-01,6.759999999999999787e+00
7.299999999999999822e-01,6.800000000000000488e-01,7.049999999999999822e+00
8.800000000000000044e-01,5.400000000000000355e-01,6.370000000000000107e+00
7.900000000000000355e-01,5.100000000000000089e-01,6.389999999999999680e+00
6.999999999999999556e-01,4.899999999999999911e-01,6.589999999999999858e+00
8.499999999999999778e-01,4.799999999999999822e-01,6.709999999999999964e+00
6.400000000000000133e-01,4.400000000000000022e-01,7.190000000000000391e+00
6.300000000000000044e-01,5.400000000000000355e-01,7.250000000000000000e+00
7.299999999999999822e-01,6.099999999999999867e-01,6.629999999999999893e+00
8.000000000000000444e-01,4.899999999999999911e-01,6.769999999999999574e+00
6.700000000000000400e-01,3.300000000000000155e-01,6.269999999999999574e+00
5.500000000000000444e-01,5.300000000000000266e-01,7.030000000000000249e+00
6.099999999999999867e-01,4.400000000000000022e-01,6.860000000000000320e+00
7.700000000000000178e-01,4.299999999999999933e-01,6.849999999999999645e+00
6.700000000000000400e-01,5.400000000000000355e-01,6.679999999999999716e+00
6.400000000000000133e-01,5.200000000000000178e-01,6.679999999999999716e+00
8.399999999999999689e-01,4.299999999999999933e-01,6.110000000000000320e+00
5.999999999999999778e-01,5.799999999999999600e-01,6.980000000000000426e+00
6.400000000000000133e-01,5.400000000000000355e-01,7.280000000000000249e+00
6.999999999999999556e-01,6.300000000000000044e-01,6.959999999999999964e+00
7.800000000000000266e-01,2.700000000000000178e-01,7.049999999999999822e+00
6.800000000000000488e-01,3.800000000000000044e-01,7.360000000000000320e+00
7.299999999999999822e-01,7.500000000000000000e-01,7.419999999999999929e+00
8.299999999999999600e-01,4.199999999999999845e-01,6.639999999999999680e+00
6.700000000000000400e-01,5.600000000000000533e-01,7.009999999999999787e+00
7.099999999999999645e-01,4.600000000000000200e-01,7.179999999999999716e+00
8.699999999999999956e-01,4.600000000000000200e-01,6.940000000000000391e+00
8.900000000000000133e-01,3.099999999999999978e-01,7.000000000000000000e+00
7.299999999999999822e-01,6.300000000000000044e-01,7.089999999999999858e+00
7.299999999999999822e-01,7.399999999999999911e-01,6.580000000000000071e+00
9.300000000000000488e-01,6.099999999999999867e-01,6.740000000000000213e+00
8.499999999999999778e-01,5.500000000000000444e-01,6.769999999999999574e+00
7.299999999999999822e-01,5.000000000000000000e-01,6.740000000000000213e+00
9.499999999999999556e-01,5.400000000000000355e-01,6.389999999999999680e+00
8.100000000000000533e-01,4.400000000000000022e-01,6.410000000000000142e+00
8.499999999999999778e-01,5.699999999999999512e-01,6.290000000000000036e+00
7.800000000000000266e-01,5.600000000000000533e-01,6.549999999999999822e+00
5.799999999999999600e-01,4.600000000000000200e-01,6.549999999999999822e+00
6.899999999999999467e-01,4.799999999999999822e-01,7.200000000000000178e+00
7.099999999999999645e-01,5.699999999999999512e-01,6.980000000000000426e+00
6.300000000000000044e-01,4.400000000000000022e-01,6.959999999999999964e+00
7.199999999999999734e-01,5.100000000000000089e-01,6.900000000000000355e+00
7.099999999999999645e-01,5.000000000000000000e-01,6.629999999999999893e+00
6.600000000000000311e-01,6.300000000000000044e-01,6.980000000000000426e+00
7.399999999999999911e-01,5.000000000000000000e-01,7.160000000000000142e+00
5.799999999999999600e-01,5.500000000000000444e-01,6.809999999999999609e+00
9.200000000000000400e-01,5.300000000000000266e-01,6.440000000000000391e+00
7.399999999999999911e-01,5.200000000000000178e-01,6.620000000000000107e+00
6.999999999999999556e-01,4.699999999999999734e-01,6.929999999999999716e+00
6.099999999999999867e-01,4.600000000000000200e-01,7.429999999999999716e+00
9.899999999999999911e-01,4.299999999999999933e-01,6.809999999999999609e+00
7.500000000000000000e-01,5.400000000000000355e-01,7.080000000000000071e+00
8.000000000000000444e-01,5.200000000000000178e-01,6.730000000000000426e+00
6.099999999999999867e-01,4.400000000000000022e-01,7.360000000000000320e+00
8.499999999999999778e-01,6.500000000000000222e-01,7.370000000000000107e+00
