sim_time,body_x,body_y,body_z,body_roll,body_pitch,body_yaw,motor_cmd_ML_TC,motor_cmd_ML_CF,motor_cmd_ML_FT,motor_cmd_HL_TC,motor_cmd_HL_CF,motor_cmd_HL_FT,motor_cmd_MR_TC,motor_cmd_MR_CF,motor_cmd_MR_FT,motor_cmd_HR_TC,motor_cmd_HR_CF,motor_cmd_HR_FT,motor_pos_ML_TC,motor_pos_ML_CF,motor_pos_ML_FT,motor_pos_HL_TC,motor_pos_HL_CF,motor_pos_HL_FT,motor_pos_MR_TC,motor_pos_MR_CF,motor_pos_MR_FT,motor_pos_HR_TC,motor_pos_HR_CF,motor_pos_HR_FT,force_ML,force_HL,force_MR,force_HR,force_ML_x,force_ML_y,force_ML_z,force_HL_x,force_HL_y,force_HL_z,force_MR_x,force_MR_y,force_MR_z,force_HR_x,force_HR_y,force_HR_z,ML_foot_traj_x,ML_foot_traj_y,ML_foot_traj_z,HL_foot_traj_x,HL_foot_traj_y,HL_foot_traj_z,MR_foot_traj_x,MR_foot_traj_y,MR_foot_traj_z,HR_foot_traj_x,HR_foot_traj_y,HR_foot_traj_z
0.0,-1.5552275505662407,-0.04583475821006097,0.2653132721786754,0.056387939117797964,0.045468714002982503,0.0011354121026754414,-0.6811408574806872,-0.029305733436484224,-1.2358796054589836,0.9404905748991191,0.6175915679264365,-2.0079769016962685,-0.4807042997494073,-0.3841572521683735,1.9683944258465527,-0.31443570776593277,-0.7930113232989935,2.419089650487833,-0.10302914189910785,-0.018292661573935533,-1.1610005388474607,0.7939894686919688,0.30019778467074476,-1.3060514470539772,-0.09973613842906222,-0.22696513734542748,1.3083343621791492,-0.6039954255840425,-0.42687597764832685,1.3066808715939646,0.048946642886355,0.2341131326558999,0.1316210136468437,0.23622862246424903,-0.23396200577266596,0.018230670944601908,-0.08308943071249818,0.26971085942266865,-0.048818993309622236,-0.33664071373801396,0.2543259334501308,-0.11679335878764245,-0.17790482739369598,-0.28046368259076243,0.042833825101495006,-0.3313620334797862,-1.7349469493864456,0.3226300635483051,0.051860539134999675,-2.2276894024167944,0.32522842132309904,0.08431290841231665,-1.7870295393354905,-0.4020163502422568,0.05845855353427028,-2.183431000402281,-0.45439141935457517,0.08151036194344491
0.05,-1.5562090090071763,-0.03778518314181058,0.23990044638929825,0.06141592221708296,0.08533081444109762,0.019195663529658697,-0.6704381675524088,0.033352429440376245,-1.2856005415201863,0.9411731487104527,0.6071807660748366,-1.9914330776192224,-0.481340937992116,-0.3687972243852489,1.9664310917681154,-0.32295059744440785,-0.7818301269434,2.4226011418142974,-0.39555325442608763,0.016224073716885595,-1.2420791515776066,0.8911284853757879,0.5134636786169979,-1.6202166878752766,-0.3459562621374427,-0.3218740282944307,1.622427252671574,-0.4245248959905497,-0.6702201341829293,1.6207995419499484,0.0,0.0,0.0,0.0,-0.053212387970451414,0.07320581425308684,-0.0036422040212797323,-0.14300668365115005,0.13302319228786827,-0.02239647629164509,-0.03682620122960564,-0.1599853729412848,-0.08633272034115809,0.06483393842551861,-0.1656580801170382,-0.07991131458885854,-1.6628998480115533,0.2983866117908991,0.0328765910144654,-2.2355084861315793,0.24652899566596725,0.12324223992736583,-1.857992696930896,-0.32960760445704834,0.048872322439101196,-2.078900498997695,-0.4598333157580138,0.12353339469575143
0.1,-1.5602977507096731,-0.02703020999768815,0.1970409986600815,0.07910726582276027,0.16284753289647386,0.03316640364556309,-0.6865425935745268,0.036976228921854905,-1.3695239471045177,0.9387277765529427,0.5985028315324133,-1.9802698736337792,-0.48287217314035985,-0.3551396427947343,1.9678108524293738,-0.3264406169844192,-0.7695473209136716,2.423467433655937,-0.5868536711642791,0.07843281153659694,-1.322309236800024,0.9222251774572644,0.5732767447559152,-1.8523533706417337,-0.44125019639899815,-0.34358207214026265,1.846167459717204,-0.3558617805694318,-0.8245539346586702,1.9349980487825449,14.49628760284494,0.0,0.028968883038521603,0.10993733252115351,-5.877419303099268,2.1467049759119425,13.297686617885267,-0.1211863676911833,-0.15229292230415314,-0.00715926035689401,-0.18488380199031923,0.10546768320250173,-0.08438777732236677,0.28040688851204587,-0.12932719469458218,0.0266008209976834,-1.6357578269988284,0.2775279624324676,0.009643141594894504,-2.208504732506318,0.1943734782961244,0.12125636842490342,-1.878936547184232,-0.2574621372505251,0.025590337533387165,-2.0235283138894444,-0.3990325964657772,0.11689325796127907
0.15000000000000002,-1.5667693575138737,-0.020054205398145324,0.16641661426729965,0.12775050503447763,0.21950156957891878,0.038816119108272214,-0.692654098448479,0.02145578253515744,-1.4113931428345965,0.9358575342158146,0.5879854334516319,-1.9677875375519829,-0.4851410838736066,-0.35010850086375955,1.975072707416437,-0.3275959091665358,-0.7561682864352345,2.4245982944753663,-0.6540712061589522,0.1537612284377408,-1.3804086599520244,0.9309401242577513,0.58245370128773,-1.9275407784649232,-0.4686974330490498,-0.35583576575222153,1.930170429948644,-0.3373663657262157,-0.8719826558050975,2.2270458504111845,11.546528028534997,0.0,9.09309266766846,0.0,-2.9925408646252283,-1.9576334746517663,11.188980788151762,-0.03552077611247335,-0.10901663540496617,-0.062390435769419196,1.8992129019662674,-1.6600520881768261,8.944204198665073,0.06935620899977261,0.034899288439750445,-0.05418998782816483,-1.630997376371733,0.2789255283622389,0.009961762427486478,-2.2009590557015026,0.18176304289014958,0.1295723087732744,-1.8866592468545529,-0.22572384750089375,0.00911385410446791,-2.000305542261116,-0.30847872602084425,0.0844402007596685
0.2,-1.5683787785164522,-0.01831210769653632,0.15365762655305384,0.15839683053979892,0.24251057301421935,0.03982383490494972,-0.6908209233968569,0.020068900693690262,-1.4144856378950676,0.935095856812303,0.5793866694205558,-1.9531712422979945,-0.48597971650248384,-0.34298231540509194,1.9787990610115131,-0.3303134072382527,-0.7418997784299772,2.4252911354980347,-0.6766490213008114,0.17125902155020842,-1.4026533552451055,0.9335430192124418,0.5800759616464528,-1.9442266056760351,-0.4790391772638867,-0.42926926670793175,1.9618806455902975,-0.33277359257542144,-0.7868775368454873,2.356197522156179,8.186366936888572,0.0,10.290078126371029,0.014759125974797171,-2.872383281564458,-0.2188952840748984,7.876080848908076,-0.038981440312037666,-0.07396816115467222,-0.07869565548318991,3.447719413425426,-0.5723145559402321,9.890774792336355,0.02448156977041067,0.1561322150346272,-0.1454127448314495,-1.6294027067504524,0.2796129942226905,0.009995974078881645,-2.1999026969546827,0.17617373664156202,0.1327449255844445,-1.8900011080353392,-0.22496452902438643,0.009904930615947258,-1.9892432660849935,-0.2448452208404931,0.05320441120066691
0.25,-1.5663703598476637,-0.019390329901263176,0.15000550324833,0.2233815988456681,0.2437483777264732,0.027581996187862567,-0.6918697871553549,0.018095844917822235,-1.4212248402909258,0.9360740583054805,0.5745070444300205,-1.9413750175653484,-0.49023083189305977,-0.33600891035199143,1.9760090137042252,-0.33739576134537147,-0.7327131220146083,2.42308644622523,-0.6863593706737284,0.12814044994367102,-1.4147469773135726,0.9346843741326294,0.576458015341276,-1.9423675107125091,-0.48536338544850854,-0.5091269503079819,1.9711290358396292,-0.3358000548568418,-0.7506391683284872,2.3997928968607702,4.990587616127009,0.0,8.7848684558737,0.0,-0.6662355363715455,3.234392593602434,4.0046266444222365,-0.03346725207720723,-0.05397190796868356,-0.09941600154866641,2.504551947272742,-0.8167946817742276,8.589989939493053,0.019048452505893005,0.04952520772036174,-0.14028583556402152,-1.629274681675464,0.27945751377028905,0.009999647526978687,-2.1955878070144697,0.18322981810045547,0.1426185109725538,-1.8940224992964063,-0.22473503861224225,0.009989871809583273,-1.985044426015454,-0.21202676592522451,0.034795583237863276
0.3,-1.5616026016988989,-0.020777772106634514,0.1514836035330661,0.28902909849458636,0.23529709617339678,0.015417552701815182,-0.6874026338655681,0.006606094934434359,-1.425320788505644,0.9393793789540219,0.5702561661288686,-1.9349366476048662,-0.49747027876702665,-0.3331474966208833,1.9638764915853637,-0.3432045985892365,-0.7305725262649894,2.4170153530971703,-0.6872202750379037,0.05970882969401579,-1.4215976498670433,0.9375903274080882,0.572551207300364,-1.937528422598617,-0.4926986822976746,-0.5731665035988576,1.966458274908601,-0.34055087519106486,-0.7375914693064416,2.411006765032299,4.30529224433207,0.0,10.203333129994313,0.0,-0.1389150236467061,3.1082834726705677,3.25836380359329,0.0031163021067778067,-0.039865331714653576,-0.07815588629197495,1.66666799531274,1.0059154333628304,10.2195739709618,0.019677565816011287,0.0031441089265075092,-0.12503555492586943,-1.6329557640741066,0.27940716908398755,0.010000041960464768,-2.1890917617651864,0.1909198115735563,0.1533909542446021,-1.895237284369005,-0.2246630980505956,0.00999899230080212,-1.981198232771178,-0.19344342463251296,0.02243217671092769
0.35,-1.5573475704135247,-0.02120880890229105,0.1534527625797413,0.3235756152327123,0.2281331623406578,0.01128015685109909,-0.6849485875810462,0.005635775714675322,-1.4317491520642112,0.9426244749904957,0.5680104195753446,-1.9281368905272065,-0.501484480340958,-0.32643466144307126,1.9523835331311963,-0.3469899580618112,-0.7224010347492853,2.4098911308131803,-0.6855581972882835,0.025123560633018915,-1.4281940686059582,0.9408028409438921,0.5694995178529202,-1.931417112402429,-0.4989829943164762,-0.5998865671920478,1.9573472787223476,-0.34466307054592615,-0.7277223164459832,2.4102770194331957,3.2047871781471104,0.0,11.173703286703306,0.0,-0.2189120322304881,2.3119815281752096,2.4898583622359536,0.010010514059211693,-0.03952103036950057,-0.06050361138026526,-0.017345009597663275,1.176291561556844,11.312699225508375,0.025132727446981713,-0.009221420993938061,-0.12060371928594474,-1.6354275075386906,0.2794105909054981,0.010000084312437724,-2.1852493416017404,0.1944418720844775,0.15875560699691582,-1.8950896659108312,-0.22465945697722042,0.009999971606089526,-1.977651231313722,-0.18489204094884337,0.015378793275565447
0.39999999999999997,-1.5539927099908768,-0.020265993872648,0.15549362550576762,0.33179283174815943,0.22205606202230155,0.012600614010593389,-0.6795112827877625,0.0003446152760791034,-1.4419884818639161,0.9445149854052323,0.563329986898482,-1.9254627885583013,-0.504379725690391,-0.3208802969854245,1.9381101529544873,-0.3487083567857827,-0.718175235997652,2.400543589225257,-0.6815789519537073,0.010629875360840818,-1.4371669441364472,0.9430385063021559,0.5651397225148141,-1.927541396692797,-0.5037753862955783,-0.6027342781206523,1.9449202430428696,-0.3473534491346718,-0.722026176076533,2.403930441141765,4.059212951249075,0.0,11.905446890717197,0.0,-0.4262653438421135,2.7439409123900376,3.2295481247442575,-0.007105699045135134,-0.04354656003126315,-0.06728099763112143,-2.237008123929416,1.8261938912885682,11.755962527537623,0.026617932192374093,-0.024578972086412486,-0.10510341726463186,-1.63609200904873,0.2791607703984021,0.010000088859946132,-2.183036061849529,0.19550163307263774,0.1577820745863862,-1.8950219044745706,-0.224606290620849,0.010000076758194271,-1.9745868195701628,-0.183142984122938,0.012309036304758783
0.44999999999999996,-1.552445037105984,-0.01886866961297656,0.1578238839006034,0.3243306888202147,0.2170131508516946,0.01612695658711728,-0.6792858468403503,0.0061700504182435395,-1.4434383395565842,0.9456542645331076,0.56056518695489,-1.921735375124635,-0.5003650143870245,-0.3059653808117297,1.928556145937492,-0.3474999131035744,-0.7013381198568585,2.392876584815576,-0.6791939162945829,0.00955767762608662,-1.441199513529329,0.9450122951903552,0.5613605139219551,-1.9237882113292195,-0.503981079386594,-0.5918616246373345,1.9343321813527943,-0.34724086908721763,-0.7097353029987337,2.3966997432923622,5.152317517311185,0.0,11.445927212888952,0.0,-1.3010810268905035,2.9007141419880975,4.305850489049982,-0.010893247021948733,-0.05476742345857806,-0.07835573112177394,-4.518574264355343,0.6652648931226539,10.712960836640425,0.032186534035549164,-0.0341647911567068,-0.08918455857371506,-1.6361157228043715,0.27925076549848615,0.010000089348231128,-2.1829115646174224,0.19569897483837478,0.15392365283396423,-1.895033730939508,-0.22455567973444576,0.010000088048815556,-1.9724126005779556,-0.1833382322397612,0.010924579891823261
