9.459995334881156070e-01,5.278866656266586466e-01,5.928000025312160082e-01,4.365111814463177864e-01,9.566275767585020740e-01,3.297397311868501824e-01,5.588799520860415759e-01,4.382812494077073517e-01,2.689259181603727011e-01,6.380469271793393071e-01,5.600037639853556737e-01,1.338520439745458646e-01,6.836815216053028221e-01,1.462681386031896950e-02,6.443129528644582216e-01,4.691088843388104834e-01,3.096625993683632116e-01,4.038482506832214436e-01,4.988520111523772060e-01,6.552597080151724152e-01,6.967077965451832222e-01,4.141356999224343749e-01,1.536988684841917446e-02,2.897400972003341159e-03,1.527576248717566441e-02,1.715693538804132640e-02,8.646961315773041279e-03,1.482805369785014649e-02,4.266290243481091204e-02,4.792680669231069029e-02,1.090210511500926682e-01,7.317720200849696897e-03,7.817069135700942251e-02,1.062113900425324664e-01
6.539932777100497807e-01,4.741359618150522981e-01,6.640626306964464431e-01,4.219881038849540578e-01,8.587359940600229891e-01,5.445943990669994683e-01,3.937209511678125828e-01,2.447734946109899890e-01,3.095514211733967347e-01,5.893872794010915905e-01,6.711535826447369013e-01,4.161570431891263300e-01,5.165434690715097199e-01,3.664534403971539400e-01,4.805210268190662770e-01,6.071405132907068403e-01,1.469823926131475500e-01,2.598092881539609267e-01,6.633007130284829245e-01,8.545391425431444477e-01,4.090376230694239834e-01,5.727645458245989030e-01,7.967876540735116878e-03,0.000000000000000000e+00,4.043234940695390224e-03,3.858004103223965919e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.949189433222880657e-02,1.064000253116664449e-02,1.562977793372324065e-01,2.788019400254351018e-03,7.910161508630582372e-02,1.798493427556291380e-01
4.135649461259037207e-01,4.506787030532845573e-01,7.360567674310067865e-01,3.795159330916581530e-01,8.386280754731789688e-01,6.517067851086313368e-01,2.307873179776405714e-01,1.130058702612986576e-01,3.960359243203629420e-01,5.415407905997156046e-01,7.063114950561757421e-01,4.939233260730738762e-01,3.930588189606320504e-01,7.088717194463756144e-01,3.727711292094275652e-01,6.671037170324785048e-01,7.783014008086154567e-02,2.316112272725633914e-01,7.801759140801010073e-01,9.225957736116789931e-01,2.081687417430099496e-01,7.313853868715194384e-01,2.760521158139817022e-01,7.293659710996462930e-01,0.000000000000000000e+00,2.649407316051983208e-01,4.241260547044421216e-03,5.067303234062616075e-03,1.478227748866137864e-03,2.882412432118014543e-03,1.407216954399951314e-01,3.401034305535479991e-03,6.439487292005093011e-02,1.980365163528386985e-01
4.070611754266921234e-01,5.262215773094885973e-01,6.938104237485722692e-01,3.543713974040338388e-01,8.336961352101051048e-01,6.514083594467344751e-01,1.086637299460908590e-01,6.396811544640181035e-02,3.924542354145942880e-01,5.075406647082723044e-01,7.156328443425465924e-01,4.862208271317463026e-01,3.530354935091736257e-01,8.310428551462076818e-01,3.555755721797178581e-01,6.897602726962045461e-01,5.422519150931535969e-02,2.265807920313670232e-01,8.240210532033913626e-01,9.362670191272320919e-01,1.125811788349812687e-01,8.788270563556627168e-01,2.174984526507862392e-01,2.492260483898491863e-01,0.000000000000000000e+00,2.070200059461712594e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.260396673612641835e-03,3.411169608531648603e-03,1.180256105065148609e-01,3.466854998090121084e-03,4.963389924852285029e-02,1.654931056071609619e-01
5.413550888899986147e-01,5.960726450105634511e-01,6.056964060329238508e-01,3.449207739072258638e-01,8.297822899289192256e-01,5.755275321013679779e-01,6.624962248069890536e-02,4.758376184191043939e-02,3.418979407060049325e-01,4.941739801773519236e-01,7.186366444112968210e-01,4.774113921480289680e-01,3.441412309011017134e-01,8.629698585265613842e-01,3.891996657757773592e-01,7.001635195571817016e-01,4.571892613070848571e-02,2.324672409779383331e-01,8.405783447440459133e-01,9.390665990350505199e-01,2.228000507769105631e-01,9.440045137313620716e-01,1.177955734653796521e-01,1.410125356011669995e-01,0.000000000000000000e+00,2.667698915786782532e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.117372281008719985e-03,3.467944060110506564e-03,1.066881127544237196e-01,3.473923091674037573e-03,4.225100999058480772e-02,1.147799462565998185e-01
5.947903145757381660e-01,6.406827045928665809e-01,5.445167016269153448e-01,3.247947732583653102e-01,8.406614162905506893e-01,5.510030421937858192e-01,5.094468820903491624e-02,4.141501341023600541e-02,3.218394602911383573e-01,4.869056703051682922e-01,7.202554126353081232e-01,4.699738505014161571e-01,3.451368681994358423e-01,8.790715577824662619e-01,4.041292271534128733e-01,7.063282638075781827e-01,4.085186373395111037e-02,2.399942477431697974e-01,8.454063272195349033e-01,9.355225945890002226e-01,2.931766340735036391e-01,9.660125692063961100e-01,0.000000000000000000e+00,2.380149565487086651e-03,0.000000000000000000e+00,2.954617646416856647e-01,0.000000000000000000e+00,1.652146346303993735e-04,1.130361828458848958e-02,3.674590200494727305e-03,9.652561293400410691e-02,3.474681111268871584e-03,3.288353625459522478e-02,8.667806012128627391e-02
5.858060620338270130e-01,6.878520093808635494e-01,5.022207083613515755e-01,2.967727827554021980e-01,8.622205001127726254e-01,5.361209890740055162e-01,4.416303894098933674e-02,4.133163704724211740e-02,3.062950924476959269e-01,4.827966020070742492e-01,7.227116708558574132e-01,4.641079924837192006e-01,3.477124462166465424e-01,8.925724910412748958e-01,4.048720079998214261e-01,7.103338544712691771e-01,3.578710543226863022e-02,2.445906172170060344e-01,8.429458032414126611e-01,9.300043579382748504e-01,3.059792631786005801e-01,9.716932478329847189e-01,0.000000000000000000e+00,5.830563022914032195e-02,0.000000000000000000e+00,2.970395144275040367e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.510650395474028712e-02,3.458655955485034992e-03,8.775738273839273074e-02,3.474763534076866136e-03,2.069851314296231731e-02,7.146834425439070604e-02
5.669459360618286370e-01,7.189222096908385318e-01,4.680376770606293757e-01,2.842880023632773367e-01,8.795504331183732205e-01,5.309142518273659572e-01,4.034432647168673114e-02,4.268342022532172625e-02,3.012017766557373855e-01,4.788926059225240839e-01,7.260902596267185816e-01,4.603671356149715010e-01,3.509682949877995783e-01,8.979600542973774635e-01,4.050122028630311899e-01,7.129725834229266868e-01,3.217557535740594998e-02,2.523609192742347074e-01,8.381655082423135061e-01,9.254459460836927942e-01,3.160477010735517345e-01,9.713221355214536334e-01,0.000000000000000000e+00,1.387724499060496164e-01,0.000000000000000000e+00,3.031083216555859328e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.760880365532134853e-02,3.473043464657572278e-03,7.890691890188722413e-02,3.474772992431881570e-03,9.112706547836123619e-03,5.821215703244921741e-02
5.676927567220041437e-01,7.353498413616608165e-01,4.339048773971456163e-01,2.785738784820593894e-01,8.981101798184468743e-01,5.266562118107045443e-01,3.844537442345060535e-02,4.560016385434631503e-02,2.960015072791854496e-01,4.735754116820581339e-01,7.288472508117626036e-01,4.551983237264829452e-01,3.530331466543581431e-01,9.038420690653984346e-01,4.136015383652401067e-01,7.144240253133020691e-01,2.950432834110267022e-02,2.588608119972078958e-01,8.316581026781549868e-01,9.229128577540053335e-01,3.228723077009525988e-01,9.681213971615412195e-01,0.000000000000000000e+00,1.216005746245294034e-01,0.000000000000000000e+00,2.528363817704148975e-01,3.805241319406206801e-01,0.000000000000000000e+00,2.132208087005387984e-02,3.474586527718714207e-03,6.999430556576675955e-02,3.474772992431881570e-03,3.342427635470713188e-03,4.742291958481419795e-02
6.270936273312621712e-01,6.956655898109961322e-01,3.960276222739749774e-01,2.805496148924524480e-01,9.058833295782172668e-01,5.331485742181670817e-01,3.754296794148797439e-02,4.640452935433629633e-02,2.973051040085035734e-01,4.711500533203618613e-01,7.305484411762277475e-01,4.511064981492576287e-01,3.550424349474478602e-01,9.041639521040978345e-01,4.484969862526316797e-01,7.155915769996376019e-01,2.948477035487294048e-02,2.733665364182067958e-01,8.261478272649478427e-01,9.227067468270429007e-01,3.377249223902152875e-01,9.644833409204116581e-01,0.000000000000000000e+00,1.189700162498174840e-01,0.000000000000000000e+00,2.628379344910287130e-01,5.316524025156447175e-01,0.000000000000000000e+00,2.704373167689614818e-02,3.474754075721850268e-03,5.705603797738912492e-02,3.474772992431881570e-03,3.460563840811069908e-03,4.495206215869265026e-02
